,RecordedDate,qreg
115,2020-10-30 20:13:03,sg_user00626
116,2020-10-30 20:23:40,sg_user00855
117,2020-10-30 20:28:32,sg_user01412
118,2020-10-30 20:30:25,sg_user00239
119,2020-10-30 20:36:50,sg_user01418
120,2020-10-30 20:42:24,sg_user00353
121,2020-10-30 20:43:06,sg_user00353
122,2020-10-30 20:50:24,sg_user01160
123,2020-10-30 20:54:55,sg_user01637
124,2020-10-30 20:57:59,sg_user00014
125,2020-10-30 21:17:32,sg_user01879
126,2020-10-30 21:17:54,sg_user01050
127,2020-10-30 21:41:19,sg_user01412
128,2020-10-30 21:41:30,sg_user01412
129,2020-10-30 21:41:51,sg_user01412
130,2020-10-30 21:42:11,sg_user00095
131,2020-10-30 21:47:40,sg_user01412
132,2020-10-30 21:54:21,sg_user01892
133,2020-10-30 22:18:40,sg_user01548
134,2020-10-30 22:25:49,sg_user00206
135,2020-10-30 22:29:21,sg_user01020
136,2020-10-31 02:28:20,sg_user00417
137,2020-10-31 06:46:29,sg_user01600
138,2020-10-31 07:40:28,sg_user00454
139,2020-10-31 10:09:03,sg_user00885
140,2020-10-31 10:11:20,sg_user01112
141,2020-10-31 10:33:19,sg_user00505
142,2020-10-31 11:41:07,sg_user00986
143,2020-10-31 11:42:49,sg_user00583
144,2020-10-31 12:23:22,sg_user01386
145,2020-10-31 13:00:14,sg_user01125
146,2020-10-31 13:24:40,sg_user01806
147,2020-10-31 16:18:29,sg_user01556
148,2020-10-31 16:19:08,sg_user01556
149,2020-10-31 17:46:44,sg_user00607
150,2020-10-31 20:46:16,sg_user01685
151,2020-10-31 21:36:35,sg_user00979
152,2020-11-01 01:31:42,sg_user00780
153,2020-11-01 05:52:22,sg_user01497
154,2020-11-01 14:05:14,sg_user00693
155,2020-11-01 16:02:01,sg_user01048
156,2020-11-02 08:10:04,sg_user01876
157,2020-11-02 13:20:21,sg_user01050
158,2020-11-02 14:23:06,sg_user00420
159,2020-11-03 10:43:32,sg_user00812
160,2020-11-03 14:20:44,sg_user00423
161,2020-11-11 17:37:47,sg_user01547
