,RecordedDate,qreg
0,2020-10-25 08:30:34,
1,2020-10-25 08:32:11,
2,2020-10-25 18:41:18,
3,2020-10-26 11:17:01,
4,2020-10-29 19:12:03,sg_user00817
5,2020-10-29 19:12:05,sg_user00443
6,2020-10-29 19:12:17,sg_user01263
7,2020-10-29 19:12:23,sg_user01541
8,2020-10-29 19:12:37,
9,2020-10-29 19:13:18,sg_user00170
10,2020-10-29 19:13:21,sg_user01580
11,2020-10-29 19:13:29,sg_user01972
12,2020-10-29 19:13:32,sg_user01928
13,2020-10-29 19:13:42,sg_user01657
14,2020-10-29 19:14:17,sg_user00478
15,2020-10-29 19:14:36,
16,2020-10-29 19:16:00,sg_user01255
17,2020-10-29 19:16:25,sg_user01996
18,2020-10-29 19:17:29,sg_user01219
19,2020-10-29 19:17:40,sg_user00781
20,2020-10-29 19:17:47,sg_user00781
21,2020-10-29 19:20:42,sg_user00700
22,2020-10-29 19:21:11,sg_user00072
23,2020-10-29 19:23:07,sg_user01503
24,2020-10-29 19:23:11,sg_user00419
25,2020-10-29 19:23:32,sg_user01996
26,2020-10-29 19:25:16,sg_user01053
27,2020-10-29 19:25:30,sg_user00160
28,2020-10-29 19:25:35,sg_user01326
29,2020-10-29 19:26:24,sg_user00205
30,2020-10-29 19:33:15,sg_user01853
31,2020-10-29 19:35:43,sg_user01186
32,2020-10-29 19:36:35,sg_user00938
33,2020-10-29 19:40:42,sg_user01289
34,2020-10-29 19:46:41,sg_user00696
35,2020-10-29 19:49:00,sg_user00358
36,2020-10-29 19:49:28,sg_user00358
37,2020-10-29 20:01:32,sg_user00081
38,2020-10-29 20:06:43,sg_user00851
39,2020-10-29 20:24:36,sg_user00183
40,2020-10-29 20:24:39,sg_user00183
41,2020-10-29 20:25:44,sg_user01524
42,2020-10-29 20:27:07,sg_user00965
43,2020-10-29 20:31:43,sg_user00766
44,2020-10-29 20:38:11,sg_user00283
45,2020-10-29 20:52:28,sg_user01766
46,2020-10-29 20:53:48,sg_user00482
47,2020-10-29 21:00:33,sg_user01122
48,2020-10-29 21:07:14,sg_user01849
49,2020-10-29 21:11:46,sg_user01550
50,2020-10-29 21:19:28,sg_user01339
51,2020-10-29 21:29:15,sg_user01837
52,2020-10-29 21:35:21,sg_user01526
53,2020-10-29 22:12:50,sg_user00170
54,2020-10-29 22:13:14,sg_user00170
55,2020-10-29 22:16:32,sg_user00170
56,2020-10-29 22:26:17,sg_user01631
57,2020-10-29 22:49:40,sg_user01221
58,2020-10-29 22:54:49,sg_user01468
59,2020-10-29 22:55:32,sg_user01468
60,2020-10-29 23:12:30,sg_user00183
61,2020-10-29 23:20:51,sg_user00660
62,2020-10-29 23:42:03,sg_user01870
63,2020-10-29 23:47:29,sg_user00665
64,2020-10-30 00:11:35,sg_user00620
65,2020-10-30 00:54:55,sg_user01621
66,2020-10-30 02:34:21,sg_user01258
67,2020-10-30 04:03:26,sg_user00156
68,2020-10-30 04:29:04,sg_user00722
69,2020-10-30 06:56:13,sg_user01047
70,2020-10-30 08:07:41,sg_user01722
71,2020-10-30 08:33:45,sg_user00744
72,2020-10-30 08:46:43,sg_user01263
73,2020-10-30 08:59:50,sg_user01350
74,2020-10-30 09:45:41,sg_user00791
75,2020-10-30 10:22:22,sg_user01994
76,2020-10-30 10:42:47,sg_user00837
77,2020-10-30 10:45:30,sg_user01465
78,2020-10-30 11:08:54,sg_user01745
79,2020-10-30 11:16:41,sg_user01627
80,2020-10-30 12:02:02,sg_user00324
81,2020-10-30 12:37:14,sg_user01200
82,2020-10-30 13:37:06,sg_user00012
83,2020-10-30 18:12:11,sg_user01349
84,2020-10-30 18:58:50,sg_user01783
85,2020-10-30 19:26:40,
86,2020-10-30 19:27:43,sg_user01940
87,2020-10-30 19:27:43,sg_user00711
88,2020-10-30 19:27:49,sg_user00383
89,2020-10-30 19:27:50,sg_user01990
90,2020-10-30 19:27:59,sg_user01782
91,2020-10-30 19:28:20,sg_user01143
92,2020-10-30 19:28:33,sg_user01209
93,2020-10-30 19:28:54,sg_user00915
94,2020-10-30 19:29:17,sg_user00635
95,2020-10-30 19:29:31,sg_user01646
96,2020-10-30 19:29:38,sg_user01484
97,2020-10-30 19:30:11,sg_user01088
98,2020-10-30 19:31:25,sg_user01176
99,2020-10-30 19:31:26,sg_user01415
100,2020-10-30 19:33:10,sg_user01112
101,2020-10-30 19:36:06,sg_user01803
102,2020-10-30 19:37:33,sg_user00138
103,2020-10-30 19:37:43,sg_user01488
104,2020-10-30 19:38:27,sg_user00361
105,2020-10-30 19:39:01,sg_user00201
106,2020-10-30 19:40:31,sg_user01900
107,2020-10-30 19:47:06,sg_user01673
108,2020-10-30 19:49:12,sg_user01077
109,2020-10-30 19:49:58,sg_user01673
110,2020-10-30 19:54:51,sg_user01453
111,2020-10-30 19:58:58,sg_user01693
112,2020-10-30 19:59:25,sg_user01049
113,2020-10-30 20:09:54,sg_user01599
114,2020-10-30 20:10:44,sg_user01628
